"","A1","A2","A3","A4","A5","C1","C2","C3","C4","C5","E1","E2","E3","E4","E5","N1","N2","N3","N4","N5","O1","O2","O3","O4","O5"
"61896",2,5,6,5,6,5,4,5,3,2,2,2,4,5,5,4,4,2,2,2,4,3,5,4,2
"61900",2,5,4,4,5,5,4,5,3,5,2,3,5,4,5,2,3,3,4,2,5,2,6,6,2
"61901",2,5,5,3,2,2,3,4,5,6,2,5,2,2,2,2,4,4,4,2,5,2,4,6,2
"61907",4,5,4,NA,3,5,3,4,2,5,1,4,3,5,4,4,5,5,4,5,4,4,3,6,3
"61908",2,4,4,4,4,4,4,4,4,5,4,3,4,6,5,4,5,3,5,4,4,2,4,6,3
"61909",3,5,4,5,4,4,4,5,3,5,2,4,5,5,4,5,5,5,5,5,6,3,4,5,2
"61911",4,3,3,3,3,6,5,5,2,3,5,NA,3,2,3,3,3,3,4,4,5,1,5,6,6
"61913",2,4,3,3,3,4,4,4,3,6,2,5,3,2,5,4,6,4,4,5,3,5,3,5,3
"61915",1,6,6,6,6,6,6,3,6,5,6,5,5,6,6,6,6,4,5,6,5,6,6,6,2
"61918",1,6,6,5,6,6,1,3,4,5,3,4,4,6,3,5,5,2,5,2,4,4,6,6,1
"61921",1,6,6,4,6,1,1,3,1,1,1,1,6,6,6,4,4,1,NA,2,4,1,6,2,2
"61922",1,6,5,6,5,6,6,4,1,1,1,2,5,4,5,4,6,2,1,2,6,1,6,5,3
"61923",1,6,5,6,5,5,5,4,1,4,2,3,6,6,5,4,4,5,4,5,5,2,5,6,4
"61925",3,6,6,4,6,2,3,2,5,5,1,1,6,6,6,4,4,4,3,3,6,3,4,5,2
"61926",2,3,1,3,1,3,3,3,2,6,6,6,1,1,3,5,4,3,6,4,2,2,1,5,3
"61928",2,4,5,5,5,4,4,6,4,2,1,2,4,6,5,6,6,4,4,6,4,4,3,4,5
"61932",2,5,3,5,1,6,5,4,2,2,1,1,5,6,2,3,5,4,4,5,4,2,5,4,3
"61935",1,6,5,6,6,3,2,4,2,3,3,2,5,5,3,2,2,2,2,1,4,4,4,5,3
"61936",5,4,4,5,6,3,5,3,3,6,4,4,6,5,5,2,5,2,1,2,6,2,5,5,2
"61939",2,5,4,3,3,6,4,4,2,4,6,4,3,3,4,1,1,1,4,3,6,1,4,6,1
"61944",1,6,6,3,6,6,6,6,1,5,1,4,5,5,6,3,6,4,4,6,5,1,4,6,1
"61945",2,6,4,5,4,4,4,5,3,5,3,3,4,4,4,3,3,3,4,3,4,4,5,5,2
"61949",2,6,3,5,2,4,4,6,4,5,2,1,5,4,6,1,1,1,1,1,6,2,5,2,1
"61952",1,5,5,6,5,5,5,5,2,2,2,2,1,5,3,5,2,4,4,2,5,2,5,5,1
"61953",1,5,5,3,3,5,2,2,5,6,2,3,2,3,4,5,5,5,3,2,5,2,5,6,2
"61954",1,6,6,5,6,6,5,3,1,1,1,2,5,5,5,1,1,1,2,4,6,1,6,6,1
"61957",2,5,5,6,5,4,4,2,5,4,4,3,5,5,4,3,4,2,1,1,6,5,4,6,2
"61958",4,4,3,1,4,5,4,4,1,1,1,1,4,6,6,3,4,2,2,1,4,1,6,4,2
"61965",2,6,5,5,3,5,5,6,2,1,2,5,3,4,5,1,3,2,1,3,6,2,4,6,5
"61967",3,5,6,5,5,4,5,4,2,4,2,2,5,5,5,3,3,5,4,3,5,2,6,5,3
"61968",1,6,6,6,5,5,3,4,4,4,1,2,5,6,5,2,2,2,2,3,5,4,5,5,2
"61969",2,5,5,5,4,3,1,4,4,5,5,5,5,3,5,2,4,5,4,5,5,4,5,5,1
"61971",2,4,4,1,3,3,5,4,4,5,4,4,4,5,2,1,2,1,4,4,5,1,6,6,1
"61972",2,4,5,5,4,5,6,5,2,1,3,4,4,2,6,6,6,2,3,4,5,5,4,5,5
"61973",1,5,5,6,5,5,4,5,1,1,4,2,4,4,4,3,4,2,NA,1,5,1,4,4,4
"61974",1,6,6,2,5,5,3,2,3,4,2,2,3,5,5,2,4,2,3,5,4,2,4,6,2
"61975",2,6,4,5,4,2,3,2,4,5,2,3,4,5,4,4,3,2,4,2,5,5,4,4,2
"61976",1,5,2,3,4,2,5,6,5,2,5,2,1,3,4,1,2,4,1,1,5,6,2,2,6
"61978",1,6,6,6,6,5,5,5,2,2,2,2,5,6,4,2,2,4,3,4,5,6,5,6,4
"61979",2,4,5,5,5,1,1,3,4,5,1,2,5,5,2,1,2,1,2,1,6,1,5,5,6
"61983",2,4,5,6,5,4,6,4,1,2,1,1,6,6,5,1,1,2,2,1,5,1,5,5,2
"61986",2,6,5,4,4,4,2,4,5,5,2,NA,4,3,5,4,4,2,4,1,6,4,5,5,2
"61987",1,5,5,5,5,5,6,4,2,2,4,1,5,4,6,4,5,5,4,2,5,1,5,6,1
"61989",1,6,6,1,3,6,6,5,1,4,5,6,1,4,1,6,6,6,5,6,5,1,2,5,1
"61990",3,4,4,3,4,3,3,5,3,6,2,5,5,3,4,5,4,2,2,4,5,4,4,4,5
"61992",4,4,5,6,4,5,6,6,4,2,2,2,5,5,5,4,2,4,5,4,4,2,5,3,3
"61993",1,5,5,5,5,4,4,4,4,5,2,2,5,5,5,3,3,3,3,4,6,2,5,4,5
"61994",2,6,5,5,4,5,4,5,3,4,4,6,5,6,6,3,3,2,2,2,5,6,6,5,1
"61999",2,6,6,6,5,5,5,5,2,1,2,1,5,5,6,1,2,2,2,3,5,1,6,6,3
"62001",1,2,2,4,3,6,4,6,5,6,4,5,1,6,3,4,6,6,4,5,3,4,3,6,4
"62003",1,6,5,6,6,4,5,3,3,4,6,3,4,5,5,1,2,2,2,3,6,1,5,6,1
"62004",6,5,6,6,5,6,6,6,1,3,6,6,4,4,5,4,5,4,4,4,6,1,3,6,3
"62005",4,3,4,3,4,4,3,5,4,4,2,4,4,3,4,5,5,3,2,3,5,4,4,4,4
"62007",3,4,2,2,3,3,2,2,4,1,2,2,5,4,5,2,3,1,1,1,6,3,6,5,1
"62009",4,3,4,3,3,5,2,4,4,5,3,5,4,1,4,5,5,5,4,4,6,1,6,6,1
"62011",1,6,5,6,6,5,4,5,2,4,3,4,5,6,4,2,3,2,1,1,5,5,3,5,3
"62013",3,5,4,4,4,3,3,4,4,4,5,4,3,2,4,2,3,2,3,2,5,4,4,3,4
"62014",4,2,2,3,3,4,3,3,4,5,4,5,2,2,5,5,4,4,5,4,5,2,5,6,2
"62015",3,4,4,3,3,5,5,4,3,2,3,4,4,2,3,4,4,5,4,4,6,1,6,6,1
"62022",1,6,5,6,3,3,5,1,1,6,1,3,3,3,6,6,6,6,2,6,3,6,1,1,6
"62023",1,5,5,4,5,4,4,4,4,4,4,1,5,5,4,1,2,1,1,2,6,4,6,6,1
"62024",2,2,1,6,3,6,6,6,1,1,2,2,5,6,6,1,3,1,1,1,6,1,6,6,2
"62025",2,4,4,5,5,5,5,5,1,2,6,5,2,5,5,5,5,5,6,3,2,2,3,5,2
"62026",1,6,6,2,5,5,5,5,1,2,2,2,6,6,6,6,6,4,2,4,6,1,5,5,1
"62029",2,3,4,4,4,3,1,1,3,2,3,3,3,3,4,2,3,2,3,2,6,2,4,5,2
"62031",1,6,4,3,6,4,4,5,2,5,2,5,4,5,6,4,5,5,2,6,5,2,6,6,1
"62032",2,3,4,5,3,4,5,4,2,5,5,3,3,4,4,2,2,4,4,3,4,3,4,5,3
"62033",5,4,3,5,4,4,4,4,4,5,1,5,5,6,4,1,1,1,4,5,5,4,4,4,5
"62034",1,5,4,4,4,5,5,5,2,4,3,4,2,4,4,4,4,4,3,4,4,2,3,5,2
"62038",1,6,6,5,3,1,3,2,2,5,6,6,5,1,2,6,4,6,6,3,3,1,3,3,4
"62039",2,5,6,3,5,5,3,3,3,4,1,2,6,5,6,5,4,1,2,2,4,4,5,4,2
"62041",2,4,5,6,5,2,4,4,3,2,4,4,3,5,2,2,4,3,2,3,3,1,3,5,3
"62042",2,6,5,5,5,2,4,3,4,6,1,3,5,6,6,1,1,2,1,1,6,3,4,5,3
"62043",1,5,6,4,5,3,2,5,2,1,1,1,2,5,4,1,2,2,2,4,5,1,5,5,1
